nm	AB	MY
545	0.00033	0.3882
546	0.00059	0.3757
547	0.00048	0.3644
548	0.00230	0.3545
549	0.00161	0.3454
550	0.00138	0.3369
551	-0.00073	0.3284
552	0.00087	0.3195
553	0.00033	0.3098
554	0.00013	0.2995
555	0.00195	0.2893
556	0.00159	0.2798
557	0.00018	0.2714
558	0.00110	0.2637
559	0.00192	0.2566
560	0.00101	0.2498
561	0.00174	0.2429
562	0.00120	0.2358
563	-0.00005	0.2281
564	-0.00057	0.2196
565	-0.00024	0.2101
566	0.00052	0.2000
567	0.00110	0.1903
568	0.00067	0.1814
569	0.00022	0.1731
570	0.00101	0.1655
571	0.00281	0.1585
572	-0.00177	0.1520
573	0.00103	0.1460
574	0.00048	0.1403
575	0.00081	0.1349
576	0.00076	0.1298
577	-0.00114	0.1247
578	0.00144	0.1198
579	0.00096	0.1148
580	0.00050	0.1099
581	0.00049	0.1049
582	-0.00068	0.1002
583	-0.00132	0.0958
584	-0.00089	0.0917
585	0.00117	0.0880
586	0.00024	0.0847
587	0.00073	0.0817
588	0.00095	0.0788
589	-0.00080	0.0761
590	-0.00089	0.0735
591	0.00088	0.0708
592	0.00075	0.0680
593	0.00086	0.0651
594	0.00064	0.0620
595	-0.00098	0.0588
596	-0.00044	0.0555
597	0.00102	0.0522
598	0.00043	0.0488
599	-0.00061	0.0455
600	0.00068	0.0422
601	-0.00019	0.0390
602	0.00091	0.0359
603	0.00026	0.0330
604	0.00119	0.0302
605	-0.00051	0.0276
606	-0.00091	0.0253
607	-0.00194	0.0231
608	-0.00060	0.0212
609	0.00089	0.0195
610	-0.00017	0.0180
611	0.00193	0.0168
612	-0.00029	0.0157
613	0.00084	0.0149
614	-0.00052	0.0142
615	0.00063	0.0138
616	0.00028	0.0134
617	-0.00020	0.0132
618	0.00027	0.0131
619	0.00272	0.0130
620	0.00030	0.0130
621	-0.00132	0.0129
622	0.00160	0.0128
623	-0.00075	0.0125
624	0.00017	0.0122
625	0.00238	0.0117
626	0.00162	0.0111
627	-0.00047	0.0102
628	0.00096	0.0091
629	0.00110	0.0079
630	-0.00010	0.0065
631	-0.00013	0.0051
632	0.00048	0.0038
633	0.00107	0.0026
634	0.00066	0.0016
635	-0.00071	0.0009
636	-0.00034	0.0005
637	-0.00016	0.0003
638	-0.00065	0.0004
639	0.00186	0.0007
640	0.00064	0.0011
641	0.00098	0.0016
642	0.00062	0.0022
643	-0.00185	0.0028
644	0.00099	0.0034
645	-0.00147	0.0040
646	0.00052	0.0044
647	0.00004	0.0048
648	-0.00020	0.0050
649	0.00083	0.0051
650	0.00022	0.0051
651	0.00028	0.0050
652	0.00047	0.0048
653	0.00077	0.0046
654	0.00066	0.0043
655	-0.00033	0.0040
656	-0.00009	0.0036
657	0.00006	0.0033
658	-0.00013	0.0029
659	0.00128	0.0026
660	0.00090	0.0023
661	-0.00069	0.0021
662	-0.00009	0.0019
663	0.00047	0.0018
664	0.00113	0.0017
665	0.00227	0.0016
666	0.00144	0.0016
667	-0.00012	0.0016
668	0.00092	0.0016
669	0.00197	0.0017
670	-0.00067	0.0018
671	0.00239	0.0019
672	0.00289	0.0021
673	0.00061	0.0022
674	-0.00052	0.0024
675	0.00012	0.0026
676	0.00155	0.0028
677	0.00046	0.0030
678	0.00055	0.0032
679	0.00005	0.0034
680	0.00114	0.0036
681	0.00061	0.0038
682	-0.00128	0.0040
683	-0.00033	0.0042
684	0.00127	0.0043
